"Experiment","Assay","BigWig file 1","BigWig file 2","BigWig file 3","BigWig file 4","BigWig file 5","BigWig file 6","BigWig file 7","BigWig file 8","Bed file 1","Bed file 2","Bed file 3","Bed file 4","Bed file 5","Bed file 6","Bed file 7","Bed file 8","Bed file 9","Bed file 10","Bed file 11","Bed file 12","Bed file 13","Bed file 14","Bed file 15","Bed file 16","Bed file 17","Bed file 18","Bed file 19","Bed file 20","Bed file 21","Bed file 22","Bed file 23","Bed file 24","Bed file 25","Bed file 26","Bed file 27","Bed file 28","Bed file 29","Bed file 30","Bed file 31","Bed file 32","Bed file 33","Bed file 34","Bed file 35","BAM file 1","BAM file 2","BAM file 3","BAM file 4","BAM file 5","BAM file 6","Target","Tissue / cell line","Biosample type","Organism","Production laboratory","BigWig output type","Bed output type","BAM output type"
"ENCSR441BDP","ATAC-seq","ENCFF577ASF","ENCFF653UAT","ENCFF716YWH","ENCFF778THH","ENCFF830CRR","ENCFF968VUJ","-","-","ENCFF018WDX","ENCFF104LTA","ENCFF105LLI","ENCFF124WTX","ENCFF147APR","ENCFF223NDZ","ENCFF334CUQ","ENCFF409NYB","ENCFF514ZFP","ENCFF622VZY","ENCFF660PIO","ENCFF731GSD","ENCFF799GTQ","ENCFF858HYF","ENCFF959FQW","ENCFF970VHC","ENCFF984WAX","ENCFF991IXP","ENCFF992IRP","ENCFF999VQB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF191SZI","ENCFF548ZVI","ENCFF559TWL","ENCFF834CRJ","-","-","Open chromatin","HCT116","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR445VYQ","ATAC-seq","ENCFF120LEE","ENCFF259VVM","ENCFF758EEF","ENCFF767JKX","ENCFF777DUU","ENCFF912JWI","-","-","ENCFF108UZS","ENCFF146VWE","ENCFF188CUU","ENCFF195DSR","ENCFF215BGD","ENCFF247NIO","ENCFF408VJA","ENCFF692CRN","ENCFF704BDG","ENCFF716GDC","ENCFF823AEB","ENCFF824CPQ","ENCFF857OJB","ENCFF886BOW","ENCFF902OZN","ENCFF903LAU","ENCFF920DHC","ENCFF961ZYC","ENCFF971GTN","ENCFF978EMM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF312BIT","ENCFF393VOJ","ENCFF522UZR","ENCFF925INX","-","-","Open chromatin","HCT116","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR477YZA","ATAC-seq","ENCFF106XHY","ENCFF187BIH","ENCFF612KIL","ENCFF619NNZ","ENCFF632IEC","ENCFF926KJA","-","-","ENCFF004YEV","ENCFF009DEU","ENCFF023NYD","ENCFF128WDG","ENCFF129RPP","ENCFF148BAB","ENCFF188ETF","ENCFF209UDP","ENCFF257DMN","ENCFF285GBT","ENCFF288KKZ","ENCFF418ZSU","ENCFF499ENG","ENCFF518ATJ","ENCFF654KLN","ENCFF679NSE","ENCFF682TPU","ENCFF683MNR","ENCFF823XZF","ENCFF843KHC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF207UGH","ENCFF211GHX","ENCFF555GFC","ENCFF878LRW","-","-","Open chromatin","HCT116","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR780PLN","ATAC-seq","ENCFF008XZB","ENCFF017WYO","ENCFF239QWN","ENCFF353CPR","ENCFF441ITL","ENCFF630LMR","-","-","ENCFF109BIY","ENCFF116GJI","ENCFF131UEL","ENCFF159JFM","ENCFF200BJK","ENCFF218KBB","ENCFF225YLR","ENCFF362VAG","ENCFF370EDY","ENCFF389NUT","ENCFF392USV","ENCFF582KDE","ENCFF716YDW","ENCFF785CNN","ENCFF902HEU","ENCFF909QPK","ENCFF924JDH","ENCFF928HXL","ENCFF950OQW","ENCFF958VRD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF233EKW","ENCFF703KSZ","ENCFF733DYI","ENCFF769NTJ","-","-","Open chromatin","HCT116","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR872WGW","ATAC-seq","ENCFF259PSA","ENCFF480SPP","ENCFF624HRW","ENCFF725NBM","ENCFF807VJD","ENCFF962GFP","-","-","ENCFF048BGW","ENCFF054UBO","ENCFF064VMK","ENCFF068PVP","ENCFF070LSQ","ENCFF107FCE","ENCFF158YYR","ENCFF296ZZB","ENCFF429LWF","ENCFF442VYJ","ENCFF470XFE","ENCFF515RJQ","ENCFF647AGG","ENCFF656EDL","ENCFF657SQV","ENCFF662SAQ","ENCFF701UYU","ENCFF720YMR","ENCFF843ZHQ","ENCFF950MFR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF532GVN","ENCFF679UWF","ENCFF724QHH","ENCFF927YUB","-","-","Open chromatin","HCT116","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR042AWH","ATAC-seq","ENCFF029XKY","ENCFF167CGQ","ENCFF285FQS","ENCFF664EJT","ENCFF699PHI","ENCFF782GKX","-","-","ENCFF010DKQ","ENCFF015YSO","ENCFF204FWC","ENCFF229ZDO","ENCFF263JJA","ENCFF291YJP","ENCFF304MEG","ENCFF314RIW","ENCFF438JMM","ENCFF494LAR","ENCFF598OUK","ENCFF625XGR","ENCFF759HTS","ENCFF776IST","ENCFF791RKW","ENCFF851SSE","ENCFF906NBO","ENCFF913MQB","ENCFF917ZKL","ENCFF929FJZ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF239RGZ","ENCFF340WXC","ENCFF394BBD","ENCFF845EXZ","-","-","Open chromatin","HepG2","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR291GJU","ATAC-seq","ENCFF024GLW","ENCFF240VVR","ENCFF254ZJG","ENCFF262URW","ENCFF380DRH","ENCFF622FRD","ENCFF645OHB","ENCFF692UVH","ENCFF016HSG","ENCFF046XTK","ENCFF055WCH","ENCFF064ZBV","ENCFF069GAC","ENCFF125LPD","ENCFF161ZZX","ENCFF186ECK","ENCFF206JFY","ENCFF258UBH","ENCFF270QVG","ENCFF398WOO","ENCFF433ACW","ENCFF439EIO","ENCFF460NHY","ENCFF471EFV","ENCFF474POM","ENCFF531HLE","ENCFF536RJV","ENCFF576UEM","ENCFF580SXF","ENCFF609BSU","ENCFF669IHR","ENCFF749AKR","ENCFF812TDB","ENCFF850SYE","ENCFF855XUC","ENCFF875NWY","ENCFF891WYB","ENCFF915FZC","ENCFF919RKQ","ENCFF935GLR","ENCFF936FRV","ENCFF963FUC","ENCFF991EDE","ENCFF095VYO","ENCFF290SKT","ENCFF624SON","ENCFF926KFU","ENCFF939JOT","ENCFF990VCP","Open chromatin","HepG2","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR483RKN","ATAC-seq","ENCFF451IKJ","ENCFF459KUR","ENCFF496GRF","ENCFF600FDO","ENCFF754EAC","ENCFF867QEW","-","-","ENCFF006OFA","ENCFF091NSB","ENCFF117MSK","ENCFF134BHI","ENCFF155UDS","ENCFF293GOJ","ENCFF306VNC","ENCFF317TUU","ENCFF491WXS","ENCFF509MPS","ENCFF558BLC","ENCFF656YON","ENCFF687BWQ","ENCFF695IGF","ENCFF769CHO","ENCFF803NXN","ENCFF858JFG","ENCFF925CYR","ENCFF925NCP","ENCFF976CEI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF202LIO","ENCFF512VEZ","ENCFF562LFB","ENCFF987XOV","-","-","Open chromatin","K562","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR859USB","ATAC-seq","ENCFF092ESJ","ENCFF137KFY","ENCFF380OSV","ENCFF667LWU","ENCFF768TUI","ENCFF920FUW","-","-","ENCFF042NBJ","ENCFF046GBZ","ENCFF055NNT","ENCFF076THQ","ENCFF177ONM","ENCFF202HWV","ENCFF213NSF","ENCFF356GAB","ENCFF373BIF","ENCFF392TMS","ENCFF444DLQ","ENCFF509QSL","ENCFF645TYU","ENCFF680ANU","ENCFF681GZS","ENCFF706XUV","ENCFF846HBP","ENCFF926KTI","ENCFF974UDE","ENCFF985XEY","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF441TRR","ENCFF517XNU","ENCFF557RSA","ENCFF852RRY","-","-","Open chromatin","K562","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR868FGK","ATAC-seq","ENCFF019IPA","ENCFF043TYW","ENCFF093IIW","ENCFF102ARJ","ENCFF357GNC","ENCFF656ZKM","ENCFF670QXU","ENCFF905MUY","ENCFF057UYP","ENCFF060CLA","ENCFF086JCJ","ENCFF104MCP","ENCFF124CDP","ENCFF135AEX","ENCFF144MBA","ENCFF150GLQ","ENCFF217HXL","ENCFF223QDM","ENCFF318AIW","ENCFF333TAT","ENCFF349AKO","ENCFF433EPT","ENCFF501WRL","ENCFF516AAK","ENCFF518LST","ENCFF563WKF","ENCFF581TPM","ENCFF590CPE","ENCFF601OSW","ENCFF678GBM","ENCFF691QRB","ENCFF694QAE","ENCFF697MBK","ENCFF706RJP","ENCFF771HDN","ENCFF816ZOO","ENCFF838DKW","ENCFF855PCP","ENCFF948AFM","ENCFF954YJS","ENCFF973QQZ","ENCFF982EXK","ENCFF993BAP","ENCFF077FBI","ENCFF128WZG","ENCFF237LMR","ENCFF534DCE","ENCFF804MXV","ENCFF834HWH","Open chromatin","K562","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR956DNB","ATAC-seq","ENCFF252EZV","ENCFF252GZO","ENCFF555ITG","ENCFF674WKB","ENCFF798GCW","ENCFF892FEF","-","-","ENCFF029TCM","ENCFF047VIB","ENCFF281XNI","ENCFF401DLG","ENCFF449MCG","ENCFF489GQF","ENCFF502DIO","ENCFF540FNK","ENCFF546GLJ","ENCFF575XSZ","ENCFF737WWB","ENCFF738NOA","ENCFF752HCA","ENCFF757XHF","ENCFF773MAV","ENCFF842UZU","ENCFF850DLB","ENCFF888STP","ENCFF930WPW","ENCFF950BQS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF203LSX","ENCFF445RUW","ENCFF778GYX","ENCFF879XNY","-","-","Open chromatin","K562","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR422SUG","ATAC-seq","ENCFF194DID","ENCFF463PDI","ENCFF782BVX","ENCFF854ZKH","ENCFF864CTV","ENCFF976UNK","-","-","ENCFF108MIX","ENCFF202CJZ","ENCFF204NII","ENCFF281PFZ","ENCFF291WTA","ENCFF307ODI","ENCFF321OTW","ENCFF407BEW","ENCFF428ROW","ENCFF502RTI","ENCFF536UWD","ENCFF649LUI","ENCFF679PKT","ENCFF685QLJ","ENCFF724TDB","ENCFF817LPT","ENCFF821OEF","ENCFF882FLC","ENCFF882OVP","ENCFF905GGG","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF426VIR","ENCFF607OSL","ENCFF770ULT","ENCFF772EFK","-","-","Open chromatin","MCF-7","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR382LBS","ATAC-seq","ENCFF031ABQ","ENCFF195QTQ","ENCFF276XUH","ENCFF571JLT","ENCFF573SLV","ENCFF691YCM","ENCFF739NUO","ENCFF905FFW","ENCFF003WLZ","ENCFF012NEH","ENCFF034HDS","ENCFF045KOG","ENCFF058YVF","ENCFF060HHC","ENCFF089MWN","ENCFF113TWQ","ENCFF173WJJ","ENCFF206NEG","ENCFF273DIB","ENCFF300BFN","ENCFF336XDC","ENCFF365FVG","ENCFF367CZS","ENCFF369SMB","ENCFF386YHU","ENCFF418XBY","ENCFF435DNF","ENCFF457XGA","ENCFF503NFS","ENCFF511USZ","ENCFF533XXP","ENCFF597XMX","ENCFF667MWP","ENCFF680EJZ","ENCFF700ZCB","ENCFF746BDQ","ENCFF765KZJ","ENCFF785EFE","ENCFF786KPZ","ENCFF824LCL","ENCFF824YZQ","ENCFF881QMT","ENCFF932EYI","ENCFF260MAO","ENCFF531SQN","ENCFF657PLO","ENCFF818BRH","ENCFF830HOU","ENCFF974GZO","Open chromatin","NCI-H929","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR499ASS","ATAC-seq","ENCFF064FOF","ENCFF124ZQJ","ENCFF145UAD","ENCFF285RAK","ENCFF746GZT","ENCFF895PMJ","-","-","ENCFF009DVW","ENCFF051RXB","ENCFF054JXF","ENCFF059THR","ENCFF061YKV","ENCFF311WVO","ENCFF358CGT","ENCFF369VMF","ENCFF394VHU","ENCFF437PNN","ENCFF464JUR","ENCFF466CVI","ENCFF493JYF","ENCFF573INZ","ENCFF617NKJ","ENCFF742PNL","ENCFF811MOZ","ENCFF906HPY","ENCFF983PKG","ENCFF984BYE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF024FNF","ENCFF303FIS","ENCFF516GDK","ENCFF879AMT","-","-","Open chromatin","PC-3","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR591PIX","ATAC-seq","ENCFF055ZEE","ENCFF174PXJ","ENCFF185TQC","ENCFF346FZQ","ENCFF757YRZ","ENCFF794CNJ","-","-","ENCFF060TIE","ENCFF066VBF","ENCFF112PVK","ENCFF121ANV","ENCFF172IKI","ENCFF182SSP","ENCFF255BWR","ENCFF294DRD","ENCFF481ELM","ENCFF488NXL","ENCFF498VVK","ENCFF505ZND","ENCFF510OSH","ENCFF544MQW","ENCFF565QFL","ENCFF835BPL","ENCFF844EVD","ENCFF860TRV","ENCFF882XTL","ENCFF953NZY","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF423SQN","ENCFF728MYS","ENCFF822BKT","ENCFF836WDC","-","-","Open chromatin","Panc1","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
