"TF","MICA","MICB","RAET1E","RAET1G","ULBP1","ULBP2","ULBP3","RAET1L"
"HOXA9",0.5,0.625,0.125,0.25,0.875,0.25,0.5,0.625
"FOSL1",1.47272727272727,1,1.01818181818182,0.272727272727273,0.890909090909091,0.581818181818182,0.727272727272727,1.01818181818182
"FOSL2",1.11764705882353,0.494117647058824,0.752941176470588,0.364705882352941,0.670588235294118,0.364705882352941,0.752941176470588,0.6
"JDP2",0.5,0.125,0,0.25,0,0,0,0
"KLF4",0.944444444444444,0.5,0.111111111111111,0.277777777777778,0.722222222222222,0.333333333333333,1.66666666666667,1.16666666666667
"FOS",0.347826086956522,0.326086956521739,0.891304347826087,0.260869565217391,0.543478260869565,0.434782608695652,0.391304347826087,0.58695652173913
"JUNB",0.685185185185185,0.796296296296296,0.351851851851852,0.240740740740741,0.759259259259259,0.222222222222222,0.37037037037037,0.185185185185185
"FOSB",0.25,0.125,0.125,0,0,0,0,0
"JUN",0.909090909090909,0.496503496503497,0.566433566433566,0.356643356643357,0.643356643356643,0.265734265734266,0.496503496503497,0.426573426573427
"NFE2L1",0.388888888888889,0.333333333333333,0.361111111111111,0.416666666666667,0.416666666666667,0.222222222222222,0.361111111111111,0.416666666666667
"PBX1",0.375,0.375,0,0,1,0.5,0.75,0
"MECOM",0.875,0.375,0.125,0.125,1,0.375,0,0
"CREB3L1",1.43478260869565,1.82608695652174,0.608695652173913,0.304347826086957,1.39130434782609,0.956521739130435,2,0.565217391304348
"GATA3",0.529411764705882,0.323529411764706,0.470588235294118,0.0441176470588235,0.411764705882353,0.161764705882353,0.397058823529412,0.514705882352941
"ATF3",0.807017543859649,0.684210526315789,0.385964912280702,0.201754385964912,0.929824561403509,0.315789473684211,0.552631578947368,0.324561403508772
"NFE2L2",0.637931034482759,0.46551724137931,0.431034482758621,0.413793103448276,0.310344827586207,0.103448275862069,0.5,0.327586206896552
"BACH1",1.07894736842105,0.894736842105263,0.789473684210526,0.105263157894737,0.526315789473684,0.157894736842105,0.657894736842105,0.131578947368421
"JUND",1.05291005291005,0.619047619047619,0.835978835978836,0.275132275132275,0.44973544973545,0.264550264550265,0.751322751322751,0.608465608465608
"ETS1",0.955555555555556,0.866666666666667,0.533333333333333,0.711111111111111,0.933333333333333,0.555555555555556,0.666666666666667,0.155555555555556
"DDIT3",1.0625,0.3125,0.0625,0,0.5625,0.0625,0.125,0.0625
"CREM",1.56818181818182,1.22727272727273,0.636363636363636,0.477272727272727,0.363636363636364,0.363636363636364,0.863636363636364,0.318181818181818
"ATF7",1.11290322580645,0.935483870967742,0.354838709677419,0.451612903225806,0.838709677419355,0.645161290322581,0.887096774193548,0.370967741935484
"ATF1",1.44444444444444,1,0.430555555555556,0.25,0.986111111111111,0.597222222222222,0.875,0.263888888888889
"MAFK",0.565217391304348,0.469565217391304,0.51304347826087,0.269565217391304,0.304347826086957,0.243478260869565,0.747826086956522,0.182608695652174
"ARNT2",1.875,2.125,0.5,1.25,1.875,0.125,0.5,0
"ESR1",0.375,1,0,0,0,0,0,0
"ATF6",1.9375,1.5,0.3125,0,1.0625,0.5625,0,0
"ATF2",0.826923076923077,0.807692307692308,0.25,0.442307692307692,0.75,0.230769230769231,0.75,0.173076923076923
"CREB3",1.65384615384615,1.46153846153846,0.192307692307692,0.269230769230769,0.538461538461538,0.269230769230769,0.884615384615385,0.0384615384615385
"NFE2",1.24074074074074,0.555555555555556,0.166666666666667,0.12962962962963,0.444444444444444,0.351851851851852,0.648148148148148,0.222222222222222
"CEBPD",2,1.125,0,0.625,0.375,0,0.25,0
"TFAP2C",0,0,0,0,0,0,0,0
"ETS2",1.05555555555556,0.333333333333333,0.277777777777778,0.222222222222222,0.722222222222222,0.5,1,0.222222222222222
"TFAP2A",0,0,0,0,0,0,0,0
"NPAS2",0.0625,0,0,0.5,0.25,0.0625,0.0625,0.0625
"CREB1",1.27826086956522,0.539130434782609,0.252173913043478,0.373913043478261,0.826086956521739,0.852173913043478,0.860869565217391,0.191304347826087
"MAFG",1.57692307692308,1.15384615384615,0.307692307692308,0.538461538461538,0.461538461538462,0.115384615384615,0.538461538461538,0.192307692307692
"MAFF",0.444444444444444,0.476190476190476,0.46031746031746,0.174603174603175,0.222222222222222,0.126984126984127,0.793650793650794,0.0952380952380952
"ATF4",1.38,0.78,0.1,0.22,0.96,0.14,0.42,0.06
"ELK1",0.548780487804878,0.317073170731707,0.353658536585366,0.25609756097561,0.439024390243902,0.121951219512195,0.48780487804878,0.121951219512195
"CLOCK",1.04545454545455,0.659090909090909,0.590909090909091,0.204545454545455,0.795454545454545,0.522727272727273,0.772727272727273,0.204545454545455
"KLF6",2.72,1.84,0.4,0.32,0.64,0.24,1.16,0.24
"CXXC5",4.125,2.75,0,0.5,1.125,1.625,0.75,0.25
"PBX3",0.892857142857143,0.321428571428571,0.285714285714286,0.107142857142857,0.5,0.25,0.321428571428571,0.0714285714285714
"STAT6",2.25,1.25,0.1875,0.75,1.0625,0.4375,0.125,0
"TBP",1.34545454545455,1.23636363636364,0.654545454545455,0.490909090909091,0.472727272727273,0.127272727272727,1.16363636363636,0.272727272727273
"CEBPB",0.805555555555556,0.638888888888889,0.427777777777778,0.316666666666667,0.811111111111111,0.105555555555556,0.327777777777778,0.166666666666667
"MYBL2",1.02222222222222,0.688888888888889,0.466666666666667,0.355555555555556,0.4,0.133333333333333,0.488888888888889,0.222222222222222
"SP1",0.88034188034188,0.572649572649573,0.393162393162393,0.461538461538462,0.769230769230769,0.47008547008547,0.957264957264957,0.452991452991453
"ARNTL",2,2.5,0.5,0.125,0.25,0,0.875,0
"RUNX1",1.07317073170732,1.17073170731707,0.536585365853659,0.634146341463415,0.975609756097561,0.585365853658537,1.09756097560976,0.24390243902439
"GTF2B",0.357142857142857,0.285714285714286,0.0714285714285714,0.142857142857143,0.214285714285714,0.142857142857143,0.0714285714285714,0
