"TF","gene_name","n_files_with_binding","total_overlapping_peaks","cell_lines","file_accessions"
"BACH1","RAET1E",14,30,"K562","ENCFF063XMG; ENCFF070TER; ENCFF107CCL; ENCFF222GZQ; ENCFF276CQA; ENCFF356MDE; ENCFF443POG; ENCFF706CJY; ENCFF755GPS; ENCFF772XDS; ENCFF795UBE; ENCFF830GYV; ENCFF877YDP; ENCFF920UVB"
"BACH1","RAET1G",4,4,"K562","ENCFF091TOR; ENCFF107CCL; ENCFF276CQA; ENCFF830GYV"
"BACH1","RAET1L",4,5,"K562","ENCFF356MDE; ENCFF755GPS; ENCFF772XDS; ENCFF830GYV"
"BACH1","ULBP1",14,20,"K562","ENCFF063XMG; ENCFF070TER; ENCFF091TOR; ENCFF222GZQ; ENCFF276CQA; ENCFF356MDE; ENCFF443POG; ENCFF553DTU; ENCFF706CJY; ENCFF755GPS; ENCFF772XDS; ENCFF795UBE; ENCFF830GYV; ENCFF877YDP"
"BACH1","ULBP2",3,6,"K562","ENCFF063XMG; ENCFF356MDE; ENCFF795UBE"
"BACH1","ULBP3",10,25,"K562","ENCFF063XMG; ENCFF091TOR; ENCFF107CCL; ENCFF319BCP; ENCFF469YOH; ENCFF603QNY; ENCFF755GPS; ENCFF772XDS; ENCFF820FCA; ENCFF920UVB"
"CEBPB","MICA",98,145,"A549; HeLa-S3; HepG2; Ishikawa; K562; MCF-7","ENCFF003ANH; ENCFF014TJO; ENCFF017OFK; ENCFF022KBK; ENCFF033EDJ; ENCFF053BQQ; ENCFF055JYQ; ENCFF077ATS; ENCFF099EFN; ENCFF110ELV; ENCFF127HAK; ENCFF128EAB; ENCFF140VZF; ENCFF157DSR; ENCFF161RTC; ENCFF166VYN; ENCFF174YEH; ENCFF189ZQR; ENCFF196UZE; ENCFF212BQE; ENCFF217UNF; ENCFF220UJA; ENCFF240ZHW; ENCFF243SPU; ENCFF245FWW; ENCFF258YCI; ENCFF263GAK; ENCFF266QUX; ENCFF278VAE; ENCFF292QLD; ENCFF301CNM; ENCFF309ZJM; ENCFF312FPE; ENCFF321KQD; ENCFF325VBX; ENCFF335BUX; ENCFF342QGM; ENCFF365REH; ENCFF430JQO; ENCFF433HFC; ENCFF439QLD; ENCFF441YTV; ENCFF450DFK; ENCFF454FFN; ENCFF461ZHK; ENCFF469KYB; ENCFF486ZBQ; ENCFF488CCC; ENCFF498VXG; ENCFF518ECW; ENCFF519FSK; ENCFF522BSB; ENCFF524GTV; ENCFF547SJG; ENCFF556OZO; ENCFF557BWM; ENCFF561QKK; ENCFF562LCU; ENCFF569UZW; ENCFF592ZPR; ENCFF610KGE; ENCFF617IIQ; ENCFF636UZV; ENCFF648FRJ; ENCFF658HYK; ENCFF679MVX; ENCFF679REG; ENCFF696GSE; ENCFF712GEQ; ENCFF712ZNR; ENCFF716JKY; ENCFF717JGJ; ENCFF737ZVZ; ENCFF761UZG; ENCFF813LOW; ENCFF817MVX; ENCFF824TMR; ENCFF838RSB; ENCFF858KWK; ENCFF862DXR; ENCFF866CXB; ENCFF877KDO; ENCFF882ARK; ENCFF886PVT; ENCFF891QTR; ENCFF893DND; ENCFF894YJQ; ENCFF907ZDN; ENCFF915ZYE; ENCFF922EWR; ENCFF948BKC; ENCFF955JHD; ENCFF963XUA; ENCFF970ORV; ENCFF983UDO; ENCFF988CGH; ENCFF992CFH; ENCFF993SCW"
"CEBPB","MICB",67,115,"A549; HCT116; HeLa-S3; HepG2; Ishikawa; K562","ENCFF003ANH; ENCFF033EDJ; ENCFF053BQQ; ENCFF055JYQ; ENCFF067KEJ; ENCFF073ACH; ENCFF080TQH; ENCFF099EFN; ENCFF110ELV; ENCFF140VZF; ENCFF143EHM; ENCFF157DSR; ENCFF166VYN; ENCFF174YEH; ENCFF189ZQR; ENCFF206BMO; ENCFF212BQE; ENCFF220UJA; ENCFF258YCI; ENCFF266QUX; ENCFF292QLD; ENCFF301CNM; ENCFF309ZJM; ENCFF312FPE; ENCFF325VBX; ENCFF335BUX; ENCFF359DUK; ENCFF365REH; ENCFF408FLA; ENCFF433HFC; ENCFF439QLD; ENCFF441YTV; ENCFF450DFK; ENCFF461ZHK; ENCFF469KYB; ENCFF486ZBQ; ENCFF488CCC; ENCFF518ECW; ENCFF519FSK; ENCFF522BSB; ENCFF547SJG; ENCFF562LCU; ENCFF610KGE; ENCFF648FRJ; ENCFF658HYK; ENCFF679MVX; ENCFF679REG; ENCFF684XQE; ENCFF712ZNR; ENCFF717JGJ; ENCFF755NTM; ENCFF761UZG; ENCFF774DWR; ENCFF817MVX; ENCFF824TMR; ENCFF838RSB; ENCFF858KWK; ENCFF866CXB; ENCFF877KDO; ENCFF882ARK; ENCFF891QTR; ENCFF922EWR; ENCFF955JHD; ENCFF963XUA; ENCFF970ORV; ENCFF983UDO; ENCFF993SCW"
"CEBPB","RAET1E",54,77,"A549; HCT116; HeLa-S3; HepG2; Ishikawa; K562; MCF-7","ENCFF003ANH; ENCFF014TJO; ENCFF047UIF; ENCFF055JYQ; ENCFF064WDQ; ENCFF067KEJ; ENCFF073ACH; ENCFF077ATS; ENCFF080TQH; ENCFF128EAB; ENCFF220UJA; ENCFF245FWW; ENCFF266QUX; ENCFF292QLD; ENCFF297UUZ; ENCFF312FPE; ENCFF325VBX; ENCFF335BUX; ENCFF365NHC; ENCFF377ZPB; ENCFF418DXC; ENCFF433HFC; ENCFF439QLD; ENCFF454FFN; ENCFF461ZHK; ENCFF495IFK; ENCFF522BSB; ENCFF524GTV; ENCFF562LCU; ENCFF610KGE; ENCFF617IIQ; ENCFF636UZV; ENCFF648FRJ; ENCFF658HYK; ENCFF679REG; ENCFF694VSV; ENCFF696GSE; ENCFF716JKY; ENCFF721KHE; ENCFF735QWM; ENCFF737ZVZ; ENCFF744SEA; ENCFF774DWR; ENCFF778WUW; ENCFF817MVX; ENCFF855UMP; ENCFF891QTR; ENCFF893DND; ENCFF894YJQ; ENCFF955JHD; ENCFF961VDA; ENCFF970ORV; ENCFF988CGH; ENCFF992CFH"
"CEBPB","RAET1G",38,57,"A549; HeLa-S3; HepG2; Ishikawa; K562","ENCFF001VDN; ENCFF001VJZ; ENCFF001VMI; ENCFF003ANH; ENCFF128EAB; ENCFF143EHM; ENCFF174YEH; ENCFF206BMO; ENCFF220UJA; ENCFF266QUX; ENCFF312FPE; ENCFF335BUX; ENCFF359DUK; ENCFF377ZPB; ENCFF408FLA; ENCFF429XKT; ENCFF430JQO; ENCFF433HFC; ENCFF441YTV; ENCFF488XZE; ENCFF519FSK; ENCFF556OZO; ENCFF578MYY; ENCFF610KGE; ENCFF648FRJ; ENCFF658HYK; ENCFF684XQE; ENCFF694VSV; ENCFF696GSE; ENCFF721KHE; ENCFF755NTM; ENCFF774DWR; ENCFF817MVX; ENCFF819GCB; ENCFF891QTR; ENCFF922EWR; ENCFF970ORV; ENCFF988CGH"
"CEBPB","RAET1L",26,30,"A549; HeLa-S3; HepG2; Ishikawa; K562; MCF-7","ENCFF001VIA; ENCFF002CSA; ENCFF003ANH; ENCFF174YEH; ENCFF220UJA; ENCFF266QUX; ENCFF312FPE; ENCFF325VBX; ENCFF408FLA; ENCFF433HFC; ENCFF439QLD; ENCFF454FFN; ENCFF461ZHK; ENCFF486ZBQ; ENCFF519FSK; ENCFF522BSB; ENCFF578MYY; ENCFF610KGE; ENCFF636UZV; ENCFF679MVX; ENCFF694VSV; ENCFF774DWR; ENCFF891QTR; ENCFF955JHD; ENCFF970ORV; ENCFF988CGH"
"CEBPB","ULBP1",124,146,"A549; HCT116; HeLa-S3; HepG2; Ishikawa; K562; MCF-7","ENCFF001VJZ; ENCFF003ANH; ENCFF014TJO; ENCFF022KBK; ENCFF033EDJ; ENCFF047UIF; ENCFF055JYQ; ENCFF064WDQ; ENCFF067KEJ; ENCFF073ACH; ENCFF077ATS; ENCFF093TVZ; ENCFF110ELV; ENCFF127HAK; ENCFF128EAB; ENCFF143EHM; ENCFF147DAN; ENCFF155LGO; ENCFF161RTC; ENCFF166VYN; ENCFF174YEH; ENCFF189ZQR; ENCFF196UZE; ENCFF198LWT; ENCFF206BMO; ENCFF212BQE; ENCFF220UJA; ENCFF231HJU; ENCFF240ZHW; ENCFF243SPU; ENCFF245FWW; ENCFF258YCI; ENCFF263GAK; ENCFF266QUX; ENCFF278VAE; ENCFF290FEC; ENCFF292QLD; ENCFF297UUZ; ENCFF309ZJM; ENCFF312FPE; ENCFF317GVT; ENCFF321KQD; ENCFF325VBX; ENCFF331KUW; ENCFF335BUX; ENCFF365NHC; ENCFF365REH; ENCFF369KTZ; ENCFF377ZPB; ENCFF408FLA; ENCFF418DXC; ENCFF430JQO; ENCFF433HFC; ENCFF438TZY; ENCFF439QLD; ENCFF441YTV; ENCFF450DFK; ENCFF454FFN; ENCFF461ZHK; ENCFF469KYB; ENCFF486ZBQ; ENCFF488CCC; ENCFF488XZE; ENCFF495IFK; ENCFF498VXG; ENCFF518ECW; ENCFF519FSK; ENCFF522BSB; ENCFF524GTV; ENCFF547SJG; ENCFF556OZO; ENCFF557BWM; ENCFF561QKK; ENCFF562LCU; ENCFF569UZW; ENCFF578MYY; ENCFF592ZPR; ENCFF610KGE; ENCFF611OIJ; ENCFF614GOC; ENCFF617IIQ; ENCFF623VYN; ENCFF636UZV; ENCFF648FRJ; ENCFF648XUD; ENCFF658HYK; ENCFF679MVX; ENCFF679REG; ENCFF684XQE; ENCFF696GSE; ENCFF712GEQ; ENCFF712ZNR; ENCFF716JKY; ENCFF721KHE; ENCFF737ZVZ; ENCFF744SEA; ENCFF761UZG; ENCFF774DWR; ENCFF778WUW; ENCFF787GDS; ENCFF807VKU; ENCFF813LOW; ENCFF817MVX; ENCFF828JWK; ENCFF838RSB; ENCFF855UMP; ENCFF858KWK; ENCFF877KDO; ENCFF882ARK; ENCFF891QTR; ENCFF893DND; ENCFF894YJQ; ENCFF907ZDN; ENCFF922EWR; ENCFF948BKC; ENCFF955JHD; ENCFF961VDA; ENCFF963FVR; ENCFF963XUA; ENCFF970ORV; ENCFF983UDO; ENCFF988CGH; ENCFF992CFH; ENCFF993SCW"
"CEBPB","ULBP2",17,19,"HepG2; Ishikawa; K562; MCF-7","ENCFF003ANH; ENCFF055JYQ; ENCFF143EHM; ENCFF174YEH; ENCFF220UJA; ENCFF258YCI; ENCFF266QUX; ENCFF359DUK; ENCFF433HFC; ENCFF454FFN; ENCFF461ZHK; ENCFF557BWM; ENCFF679MVX; ENCFF684XQE; ENCFF755NTM; ENCFF891QTR; ENCFF988CGH"
"CEBPB","ULBP3",33,59,"A549; HeLa-S3; HepG2; Ishikawa; K562; MCF-7","ENCFF001VIA; ENCFF003ANH; ENCFF073ACH; ENCFF110ELV; ENCFF128EAB; ENCFF143EHM; ENCFF174YEH; ENCFF220UJA; ENCFF231HJU; ENCFF312FPE; ENCFF359DUK; ENCFF408FLA; ENCFF439QLD; ENCFF441YTV; ENCFF486ZBQ; ENCFF488XZE; ENCFF519FSK; ENCFF557BWM; ENCFF578MYY; ENCFF610KGE; ENCFF617IIQ; ENCFF679MVX; ENCFF684XQE; ENCFF694VSV; ENCFF696GSE; ENCFF716JKY; ENCFF721KHE; ENCFF755NTM; ENCFF774DWR; ENCFF817MVX; ENCFF891QTR; ENCFF970ORV; ENCFF992CFH"
"CEBPD","MICA",6,16,"HepG2","ENCFF166MTG; ENCFF203VPU; ENCFF695HDO; ENCFF784EXR; ENCFF880CFQ; ENCFF977SHT"
"CEBPD","MICB",5,9,"HepG2","ENCFF203VPU; ENCFF695HDO; ENCFF880CFQ; ENCFF929XBL; ENCFF977SHT"
"CEBPD","RAET1G",2,5,"HepG2","ENCFF880CFQ; ENCFF977SHT"
"CEBPD","ULBP1",3,3,"HepG2","ENCFF203VPU; ENCFF695HDO; ENCFF977SHT"
"CEBPD","ULBP3",2,2,"HepG2","ENCFF203VPU; ENCFF880CFQ"
"CLOCK","MICA",24,46,"K562; MCF-7","ENCFF009FWE; ENCFF025SMR; ENCFF026GGP; ENCFF053IKJ; ENCFF060LKL; ENCFF305CRL; ENCFF320SOL; ENCFF467LRK; ENCFF489TPP; ENCFF492NVG; ENCFF510BTR; ENCFF535WCX; ENCFF690ZUG; ENCFF719FBB; ENCFF727VKV; ENCFF729JFO; ENCFF779SSK; ENCFF814ZPW; ENCFF852HVU; ENCFF922DWK; ENCFF968CCL; ENCFF973EYQ; ENCFF979PYB; ENCFF999EYH"
"CLOCK","MICB",18,29,"K562; MCF-7","ENCFF009FWE; ENCFF026GGP; ENCFF060LKL; ENCFF320SOL; ENCFF467LRK; ENCFF489TPP; ENCFF492NVG; ENCFF510BTR; ENCFF535WCX; ENCFF690ZUG; ENCFF719FBB; ENCFF729JFO; ENCFF779SSK; ENCFF852HVU; ENCFF922DWK; ENCFF968CCL; ENCFF979PYB; ENCFF999EYH"
"CLOCK","RAET1E",17,26,"MCF-7","ENCFF009FWE; ENCFF304PKL; ENCFF320SOL; ENCFF467LRK; ENCFF489TPP; ENCFF492NVG; ENCFF535WCX; ENCFF646NKR; ENCFF700KCM; ENCFF719FBB; ENCFF729JFO; ENCFF779SSK; ENCFF852HVU; ENCFF922DWK; ENCFF968CCL; ENCFF979PYB; ENCFF999EYH"
"CLOCK","RAET1G",6,9,"K562; MCF-7","ENCFF026GGP; ENCFF467LRK; ENCFF690ZUG; ENCFF727VKV; ENCFF979PYB; ENCFF999EYH"
"CLOCK","RAET1L",9,9,"K562; MCF-7","ENCFF009FWE; ENCFF026GGP; ENCFF489TPP; ENCFF492NVG; ENCFF690ZUG; ENCFF779SSK; ENCFF922DWK; ENCFF968CCL; ENCFF999EYH"
"CLOCK","ULBP1",20,35,"K562; MCF-7","ENCFF009FWE; ENCFF053IKJ; ENCFF304PKL; ENCFF305CRL; ENCFF320SOL; ENCFF489TPP; ENCFF492NVG; ENCFF510BTR; ENCFF622TWI; ENCFF646NKR; ENCFF690ZUG; ENCFF719FBB; ENCFF727VKV; ENCFF729JFO; ENCFF779SSK; ENCFF852HVU; ENCFF922DWK; ENCFF968CCL; ENCFF979PYB; ENCFF999EYH"
"CLOCK","ULBP2",16,23,"MCF-7","ENCFF009FWE; ENCFF053IKJ; ENCFF304PKL; ENCFF320SOL; ENCFF467LRK; ENCFF489TPP; ENCFF492NVG; ENCFF535WCX; ENCFF646NKR; ENCFF719FBB; ENCFF729JFO; ENCFF779SSK; ENCFF852HVU; ENCFF922DWK; ENCFF968CCL; ENCFF999EYH"
"CLOCK","ULBP3",15,34,"MCF-7","ENCFF009FWE; ENCFF053IKJ; ENCFF187IFX; ENCFF304PKL; ENCFF320SOL; ENCFF359WMP; ENCFF467LRK; ENCFF492NVG; ENCFF535WCX; ENCFF646NKR; ENCFF700KCM; ENCFF852HVU; ENCFF922DWK; ENCFF979PYB; ENCFF999EYH"
"CREB1","MICA",73,147,"HepG2; Ishikawa; K562; MCF-7","ENCFF011VUP; ENCFF040JIX; ENCFF048HHX; ENCFF084AFZ; ENCFF088MWJ; ENCFF112JIR; ENCFF193LLN; ENCFF197SWC; ENCFF221DBR; ENCFF228LSW; ENCFF239TWR; ENCFF259FVH; ENCFF304FKQ; ENCFF308VBF; ENCFF322HPX; ENCFF351PGN; ENCFF365ROK; ENCFF385XQX; ENCFF394SDE; ENCFF409VNY; ENCFF410YVI; ENCFF414DXJ; ENCFF414SQZ; ENCFF422AIU; ENCFF459EOD; ENCFF466AJA; ENCFF493SBE; ENCFF495PCJ; ENCFF501VID; ENCFF521INM; ENCFF562YGL; ENCFF564YGY; ENCFF567EYJ; ENCFF570YMS; ENCFF571FVN; ENCFF571MPI; ENCFF576BKY; ENCFF590IQB; ENCFF623IEY; ENCFF626DLW; ENCFF634HLA; ENCFF644LDW; ENCFF648PUH; ENCFF671WVR; ENCFF678ART; ENCFF680TBL; ENCFF682FEJ; ENCFF689VYE; ENCFF696OVM; ENCFF706PKI; ENCFF708DXF; ENCFF721HDQ; ENCFF721SZO; ENCFF723HSS; ENCFF724XGS; ENCFF731OHW; ENCFF732KKY; ENCFF734WVJ; ENCFF738LQC; ENCFF742EMB; ENCFF747DHB; ENCFF790WFD; ENCFF836OIF; ENCFF847AGG; ENCFF901ZBM; ENCFF904MXP; ENCFF945FRP; ENCFF949ZLO; ENCFF951GQB; ENCFF955MFB; ENCFF970QKS; ENCFF975EVE; ENCFF977BLL"
"CREB1","MICB",49,62,"HepG2; Ishikawa; K562; MCF-7","ENCFF048HHX; ENCFF088MWJ; ENCFF112JIR; ENCFF193LLN; ENCFF239TWR; ENCFF245TIS; ENCFF304FKQ; ENCFF308VBF; ENCFF365ROK; ENCFF385XQX; ENCFF394SDE; ENCFF409VNY; ENCFF410YVI; ENCFF414DXJ; ENCFF414SQZ; ENCFF422AIU; ENCFF459EOD; ENCFF466AJA; ENCFF493SBE; ENCFF501VID; ENCFF521INM; ENCFF567EYJ; ENCFF571MPI; ENCFF576BKY; ENCFF590IQB; ENCFF599FYT; ENCFF623IEY; ENCFF626DLW; ENCFF634HLA; ENCFF644LDW; ENCFF671WVR; ENCFF682FEJ; ENCFF689VYE; ENCFF696OVM; ENCFF708DXF; ENCFF721HDQ; ENCFF732KKY; ENCFF734WVJ; ENCFF738LQC; ENCFF742EMB; ENCFF836OIF; ENCFF847AGG; ENCFF883LRJ; ENCFF904MXP; ENCFF945FRP; ENCFF949ZLO; ENCFF951GQB; ENCFF970QKS; ENCFF975EVE"
"CREB1","RAET1E",21,29,"HepG2; Ishikawa; K562; MCF-7","ENCFF011VUP; ENCFF197SWC; ENCFF385XQX; ENCFF414SQZ; ENCFF422AIU; ENCFF466AJA; ENCFF501VID; ENCFF521INM; ENCFF567EYJ; ENCFF570YMS; ENCFF626DLW; ENCFF628ATN; ENCFF680TBL; ENCFF689VYE; ENCFF696OVM; ENCFF708DXF; ENCFF732KKY; ENCFF901ZBM; ENCFF949ZLO; ENCFF951GQB; ENCFF975EVE"
"CREB1","RAET1G",36,43,"HepG2; Ishikawa; K562; MCF-7","ENCFF011VUP; ENCFF040JIX; ENCFF088MWJ; ENCFF112JIR; ENCFF239TWR; ENCFF304FKQ; ENCFF385XQX; ENCFF394SDE; ENCFF414DXJ; ENCFF414SQZ; ENCFF422AIU; ENCFF459EOD; ENCFF466AJA; ENCFF501VID; ENCFF567EYJ; ENCFF570YMS; ENCFF590IQB; ENCFF623IEY; ENCFF626DLW; ENCFF644LDW; ENCFF680TBL; ENCFF682FEJ; ENCFF689VYE; ENCFF696OVM; ENCFF721HDQ; ENCFF734WVJ; ENCFF738LQC; ENCFF747DHB; ENCFF773EPS; ENCFF790WFD; ENCFF901ZBM; ENCFF904MXP; ENCFF945FRP; ENCFF949ZLO; ENCFF951GQB; ENCFF975EVE"
"CREB1","RAET1L",17,22,"HepG2; Ishikawa; K562; MCF-7","ENCFF011VUP; ENCFF040JIX; ENCFF088MWJ; ENCFF239TWR; ENCFF269RLS; ENCFF304FKQ; ENCFF385XQX; ENCFF414SQZ; ENCFF422AIU; ENCFF466AJA; ENCFF567EYJ; ENCFF628ATN; ENCFF680TBL; ENCFF689VYE; ENCFF696OVM; ENCFF790WFD; ENCFF949ZLO"
"CREB1","ULBP1",79,95,"HepG2; Ishikawa; K562; MCF-7","ENCFF011VUP; ENCFF030DLI; ENCFF048HHX; ENCFF085QRM; ENCFF088MWJ; ENCFF112JIR; ENCFF118VTU; ENCFF142BHB; ENCFF167JLX; ENCFF193LLN; ENCFF197SWC; ENCFF224GRD; ENCFF228LSW; ENCFF230CPK; ENCFF236YZF; ENCFF239TWR; ENCFF245TIS; ENCFF259FVH; ENCFF269RLS; ENCFF277JYZ; ENCFF304FKQ; ENCFF314KET; ENCFF356LKG; ENCFF385XQX; ENCFF394SDE; ENCFF409VNY; ENCFF410YVI; ENCFF414DXJ; ENCFF414SQZ; ENCFF422AIU; ENCFF442QPB; ENCFF459EOD; ENCFF462DNS; ENCFF466AJA; ENCFF493SBE; ENCFF495PCJ; ENCFF501VID; ENCFF520ETY; ENCFF521INM; ENCFF550TXR; ENCFF562YGL; ENCFF564YGY; ENCFF567EYJ; ENCFF570YMS; ENCFF576BKY; ENCFF590IQB; ENCFF599FYT; ENCFF623IEY; ENCFF626DLW; ENCFF628ATN; ENCFF634HLA; ENCFF644LDW; ENCFF671WVR; ENCFF678ART; ENCFF680TBL; ENCFF682FEJ; ENCFF689VYE; ENCFF696OVM; ENCFF706PKI; ENCFF708DXF; ENCFF721HDQ; ENCFF731OHW; ENCFF734WVJ; ENCFF738LQC; ENCFF747DHB; ENCFF754WVZ; ENCFF773EPS; ENCFF841ZKW; ENCFF847AGG; ENCFF852AAQ; ENCFF852CYZ; ENCFF883LRJ; ENCFF901ZBM; ENCFF945FRP; ENCFF949ZLO; ENCFF951GQB; ENCFF970QKS; ENCFF975EVE; ENCFF977BLL"
"CREB1","ULBP2",69,98,"HepG2; Ishikawa; K562; MCF-7","ENCFF011VUP; ENCFF030DLI; ENCFF048HHX; ENCFF085QRM; ENCFF088MWJ; ENCFF112JIR; ENCFF118VTU; ENCFF142BHB; ENCFF167JLX; ENCFF193LLN; ENCFF197SWC; ENCFF224GRD; ENCFF230CPK; ENCFF239TWR; ENCFF245TIS; ENCFF259FVH; ENCFF277JYZ; ENCFF304FKQ; ENCFF351PGN; ENCFF356LKG; ENCFF385XQX; ENCFF394SDE; ENCFF409VNY; ENCFF414DXJ; ENCFF414SQZ; ENCFF422AIU; ENCFF442QPB; ENCFF459EOD; ENCFF462DNS; ENCFF466AJA; ENCFF493SBE; ENCFF495PCJ; ENCFF501VID; ENCFF556YAO; ENCFF562YGL; ENCFF567EYJ; ENCFF570YMS; ENCFF576BKY; ENCFF590IQB; ENCFF599FYT; ENCFF623IEY; ENCFF626DLW; ENCFF628ATN; ENCFF634HLA; ENCFF644LDW; ENCFF671WVR; ENCFF678ART; ENCFF682FEJ; ENCFF689VYE; ENCFF696OVM; ENCFF706PKI; ENCFF720NAW; ENCFF721HDQ; ENCFF731OHW; ENCFF732KKY; ENCFF734WVJ; ENCFF747DHB; ENCFF783CTL; ENCFF790WFD; ENCFF841ZKW; ENCFF847AGG; ENCFF852CYZ; ENCFF883LRJ; ENCFF901ZBM; ENCFF949ZLO; ENCFF951GQB; ENCFF970QKS; ENCFF975EVE; ENCFF977BLL"
"CREB1","ULBP3",52,99,"HepG2; Ishikawa; K562; MCF-7","ENCFF001UFM; ENCFF001UJI; ENCFF040JIX; ENCFF088MWJ; ENCFF112JIR; ENCFF118VTU; ENCFF127RVQ; ENCFF161PGD; ENCFF197SWC; ENCFF269RLS; ENCFF304FKQ; ENCFF351PGN; ENCFF365ROK; ENCFF385XQX; ENCFF394SDE; ENCFF409VNY; ENCFF414DXJ; ENCFF414SQZ; ENCFF422AIU; ENCFF445LQN; ENCFF466AJA; ENCFF493SBE; ENCFF495PCJ; ENCFF521INM; ENCFF562YGL; ENCFF567EYJ; ENCFF570YMS; ENCFF590IQB; ENCFF626DLW; ENCFF628ATN; ENCFF634HLA; ENCFF639VNB; ENCFF644LDW; ENCFF680TBL; ENCFF682FEJ; ENCFF696OVM; ENCFF708DXF; ENCFF721HDQ; ENCFF732KKY; ENCFF747DHB; ENCFF773EPS; ENCFF783CTL; ENCFF790WFD; ENCFF835UPN; ENCFF847AGG; ENCFF874EVS; ENCFF883LRJ; ENCFF897YHB; ENCFF901ZBM; ENCFF949ZLO; ENCFF951GQB; ENCFF975EVE"
"CREB3","MICA",14,43,"HepG2; K562","ENCFF114SXF; ENCFF144YEZ; ENCFF179CUH; ENCFF313HJO; ENCFF328JKG; ENCFF406GZA; ENCFF476ZIX; ENCFF573MKN; ENCFF636AYI; ENCFF701RAG; ENCFF749ZWZ; ENCFF785YEU; ENCFF813UQL; ENCFF829IEE"
"CREB3","MICB",15,38,"HepG2; K562","ENCFF144YEZ; ENCFF179CUH; ENCFF313HJO; ENCFF328JKG; ENCFF406GZA; ENCFF459GME; ENCFF476ZIX; ENCFF572YZB; ENCFF573MKN; ENCFF636AYI; ENCFF665FHC; ENCFF701RAG; ENCFF749ZWZ; ENCFF785YEU; ENCFF813UQL"
"CREB3","RAET1E",4,5,"K562","ENCFF313HJO; ENCFF476ZIX; ENCFF572YZB; ENCFF701RAG"
"CREB3","RAET1G",4,7,"HepG2; K562","ENCFF144YEZ; ENCFF328JKG; ENCFF573MKN; ENCFF749ZWZ"
"CREB3","RAET1L",1,1,"K562","ENCFF573MKN"
