FileAccession	Target	CellLine	OutputType	FileFormat	ExperimentAccession
ENCFF018OJP	NA	A549	IDR thresholded peaks	bed	ENCSR288YMH
ENCFF020EUE	NA	A549	IDR thresholded peaks	bed	ENCSR074AHH
ENCFF022BIK	NA	A549	IDR thresholded peaks	bed	ENCSR139OYS
ENCFF035BSF	NA	HCT116	IDR thresholded peaks	bed	ENCSR345XUN
ENCFF036AMC	NA	A549	IDR thresholded peaks	bed	ENCSR139OYS
ENCFF045KOG	NA	NCI-H929	IDR thresholded peaks	bed	ENCSR382LBS
ENCFF054UBO	NA	HCT116	IDR thresholded peaks	bed	ENCSR872WGW
ENCFF061YKV	NA	PC-3	IDR thresholded peaks	bed	ENCSR499ASS
ENCFF089MWN	NA	NCI-H929	IDR thresholded peaks	bed	ENCSR382LBS
ENCFF110LOX	NA	A549	IDR thresholded peaks	bed	ENCSR220ASC
ENCFF117JPF	NA	A549	IDR thresholded peaks	bed	ENCSR265ZXX
ENCFF143XED	NA	A549	IDR thresholded peaks	bed	ENCSR139OYS
ENCFF155NTI	NA	HCT116	IDR thresholded peaks	bed	ENCSR345XUN
ENCFF161ZZX	NA	HepG2	IDR thresholded peaks	bed	ENCSR291GJU
ENCFF172ZTK	NA	A549	IDR thresholded peaks	bed	ENCSR220ASC
ENCFF181FFW	NA	A549	IDR thresholded peaks	bed	ENCSR220ASC
ENCFF197CSK	NA	A549	IDR thresholded peaks	bed	ENCSR265ZXX
ENCFF209UDP	NA	HCT116	IDR thresholded peaks	bed	ENCSR477YZA
ENCFF237URW	NA	A549	IDR thresholded peaks	bed	ENCSR032RGS
ENCFF257DMN	NA	HCT116	IDR thresholded peaks	bed	ENCSR477YZA
ENCFF321FBR	NA	HCT116	IDR thresholded peaks	bed	ENCSR328JGW
ENCFF338EFN	NA	HCT116	IDR thresholded peaks	bed	ENCSR389WJO
ENCFF369SMB	NA	NCI-H929	IDR thresholded peaks	bed	ENCSR382LBS
ENCFF369VMF	NA	PC-3	IDR thresholded peaks	bed	ENCSR499ASS
ENCFF370EDY	NA	HCT116	IDR thresholded peaks	bed	ENCSR780PLN
ENCFF379NOI	NA	HCT116	IDR thresholded peaks	bed	ENCSR302NVX
ENCFF386YHU	NA	NCI-H929	IDR thresholded peaks	bed	ENCSR382LBS
ENCFF389NUT	NA	HCT116	IDR thresholded peaks	bed	ENCSR780PLN
ENCFF408VJA	NA	HCT116	IDR thresholded peaks	bed	ENCSR445VYQ
ENCFF409NYB	NA	HCT116	IDR thresholded peaks	bed	ENCSR441BDP
ENCFF422RQI	NA	A549	IDR thresholded peaks	bed	ENCSR139OYS
ENCFF429FOV	NA	A549	IDR thresholded peaks	bed	ENCSR032RGS
ENCFF429LWF	NA	HCT116	IDR thresholded peaks	bed	ENCSR872WGW
ENCFF435WAN	NA	A549	IDR thresholded peaks	bed	ENCSR074AHH
ENCFF438JMM	NA	HepG2	IDR thresholded peaks	bed	ENCSR042AWH
ENCFF463DJH	NA	A549	IDR thresholded peaks	bed	ENCSR220ASC
ENCFF500OLT	NA	HCT116	IDR thresholded peaks	bed	ENCSR389WJO
ENCFF505PFO	NA	HCT116	IDR thresholded peaks	bed	ENCSR302NVX
ENCFF516KWQ	NA	A549	IDR thresholded peaks	bed	ENCSR220ASC
ENCFF525YKE	NA	A549	IDR thresholded peaks	bed	ENCSR288YMH
ENCFF548DNV	NA	A549	IDR thresholded peaks	bed	ENCSR074AHH
ENCFF576UEM	NA	HepG2	IDR thresholded peaks	bed	ENCSR291GJU
ENCFF609BSU	NA	HepG2	IDR thresholded peaks	bed	ENCSR291GJU
ENCFF619XXH	NA	A549	IDR thresholded peaks	bed	ENCSR288YMH
ENCFF628DWR	NA	HCT116	IDR thresholded peaks	bed	ENCSR389WJO
ENCFF628WZB	NA	HCT116	IDR thresholded peaks	bed	ENCSR345XUN
ENCFF640GNQ	NA	HCT116	IDR thresholded peaks	bed	ENCSR328JGW
ENCFF647AGG	NA	HCT116	IDR thresholded peaks	bed	ENCSR872WGW
ENCFF660PIO	NA	HCT116	IDR thresholded peaks	bed	ENCSR441BDP
ENCFF663LWI	NA	A549	IDR thresholded peaks	bed	ENCSR139OYS
ENCFF674RFR	NA	A549	IDR thresholded peaks	bed	ENCSR032RGS
ENCFF679NSE	NA	HCT116	IDR thresholded peaks	bed	ENCSR477YZA
ENCFF681TUR	NA	A549	IDR thresholded peaks	bed	ENCSR032RGS
ENCFF692CRN	NA	HCT116	IDR thresholded peaks	bed	ENCSR445VYQ
ENCFF742PNL	NA	PC-3	IDR thresholded peaks	bed	ENCSR499ASS
ENCFF746BDQ	NA	NCI-H929	IDR thresholded peaks	bed	ENCSR382LBS
ENCFF753XQZ	NA	A549	IDR thresholded peaks	bed	ENCSR074AHH
ENCFF754DCB	NA	A549	IDR thresholded peaks	bed	ENCSR288YMH
ENCFF771OGQ	NA	A549	IDR thresholded peaks	bed	ENCSR265ZXX
ENCFF786KPZ	NA	NCI-H929	IDR thresholded peaks	bed	ENCSR382LBS
ENCFF791RKW	NA	HepG2	IDR thresholded peaks	bed	ENCSR042AWH
ENCFF795ASF	NA	A549	IDR thresholded peaks	bed	ENCSR220ASC
ENCFF804MVZ	NA	A549	IDR thresholded peaks	bed	ENCSR139OYS
ENCFF812CUZ	NA	A549	IDR thresholded peaks	bed	ENCSR074AHH
ENCFF813DSX	NA	A549	IDR thresholded peaks	bed	ENCSR288YMH
ENCFF847COV	NA	HCT116	IDR thresholded peaks	bed	ENCSR302NVX
ENCFF848NZM	NA	A549	IDR thresholded peaks	bed	ENCSR265ZXX
ENCFF851SSE	NA	HepG2	IDR thresholded peaks	bed	ENCSR042AWH
ENCFF857ZHU	NA	A549	IDR thresholded peaks	bed	ENCSR288YMH
ENCFF886VWX	NA	A549	IDR thresholded peaks	bed	ENCSR265ZXX
ENCFF894TJN	NA	A549	IDR thresholded peaks	bed	ENCSR074AHH
ENCFF902OZN	NA	HCT116	IDR thresholded peaks	bed	ENCSR445VYQ
ENCFF915FZC	NA	HepG2	IDR thresholded peaks	bed	ENCSR291GJU
ENCFF919RKQ	NA	HepG2	IDR thresholded peaks	bed	ENCSR291GJU
ENCFF933TYP	NA	HCT116	IDR thresholded peaks	bed	ENCSR328JGW
ENCFF935GLR	NA	HepG2	IDR thresholded peaks	bed	ENCSR291GJU
ENCFF948AQW	NA	A549	IDR thresholded peaks	bed	ENCSR032RGS
ENCFF958VRD	NA	HCT116	IDR thresholded peaks	bed	ENCSR780PLN
ENCFF959FQW	NA	HCT116	IDR thresholded peaks	bed	ENCSR441BDP
ENCFF964AUZ	NA	A549	IDR thresholded peaks	bed	ENCSR032RGS
ENCFF965ILK	NA	A549	IDR thresholded peaks	bed	ENCSR265ZXX
